date/time,settlement id ,type ,order id,Sku,description ,quantity,marketplace ,fulfillment,order city ,order state ,order postal ,product sales ,shipping credits ,promotional rebates ,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,selling fees ,fba fees ,other transaction fees ,other ,total 
17-May-2018 7:10:41 AM GMT+00:00,10140700102,"Order
",408-0032123-5049109,DISPO51,"PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,FITNESS,OLD AGE,HOSPIT",1,amazon.in,"Amazon
",THANE,MAHARASHTRA,400607,417.86,0,0,50.14,0,0,0,-71.79,-76.7,-17.7,0,301.81
17-May-2018 7:10:57 AM GMT+00:00,10140700102,"Order
",404-1380704-1731555,DISPO51,"PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,FITNESS,OLD AGE,HOSPIT",1,amazon.in,"Amazon
",GANDHINAGAR,GUJARAT,382007,417.86,14.88,-14.88,50.14,0,0,0,-71.79,-76.7,-17.7,0,301.81
17-May-2018 12:28:58 PM GMT+00:00,10140700102,"Order
",403-1794720-2212369,AMANEEM-1,LOOFAH (PACK OF 10 PCS)100%NATURAL RIDGE GOURD ORGANIC FIBER,1,amazon.in,"Amazon
",RAIPUR,CHHATTISGARH,492001,338.39,44.64,0,45.97,0,0,0,-13.42,-121.34,-17.7,0,276.54
17-May-2018 12:58:31 PM GMT+00:00,10140700102,"Order
",404-7706145-1257125,DISPO51,"PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,FITNESS,OLD AGE,HOSPIT",1,amazon.in,"Amazon
",Kochi,KERALA,682024,418.75,44.64,0,55.61,0,0,0,-71.94,-121.34,-17.7,0,308.02
17-May-2018 12:58:52 PM GMT+00:00,10140700102,"Order
",406-8112871-7126769,BIG LUFA,"LOOFAH (3 PCS)100% NATURAL RIDGE GOURD FIBER BIG SIZE 8""TO10"" INCH LONG(YOU CAN CUT IT AS PER YOUR REQUARMENT) &#x2022; Use with your favorite liquid",1,amazon.in,"Amazon
",FARIDABAD,HARYANA,121007,266.96,14.89,-14.89,32.04,0,0,0,-10.58,-49.56,-17.7,0,221.16
17-May-2018 2:03:41 PM GMT+00:00,10140700102,"Order
",405-4095330-7837927,BIG LUFA,"LOOFAH (3 PCS)100% NATURAL RIDGE GOURD FIBER BIG SIZE 8""TO10"" INCH LONG(YOU CAN CUT IT AS PER YOUR REQUARMENT) &#x2022; Use with your favorite liquid",1,amazon.in,"Amazon
",BENGALURU,KARNATAKA,560064,221.43,0,0,26.57,0,0,0,-8.78,-76.7,-17.7,0,144.82
18-May-2018 3:47:51 AM GMT+00:00,10140700102,"Order
",406-0776035-4516308,DISPO51,"PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,FITNESS,OLD AGE,HOSPIT",1,amazon.in,"Amazon
",THANE,MAHARASHTRA,401107,417.86,44.64,0,55.5,0,0,0,-71.79,-121.34,-17.7,0,307.17
18-May-2018 4:13:14 AM GMT+00:00,10140700102,"Order
",407-6662022-6517165,AMANEEM-1,LOOFAH (PACK OF 10 PCS)100%NATURAL RIDGE GOURD ORGANIC FIBER,1,amazon.in,"Amazon
",MUMBAI,MAHARASHTRA,400093,337.5,0,0,40.5,0,0,0,-13.38,-76.7,-17.7,0,270.22
18-May-2018 5:58:00 AM GMT+00:00,10140700102,"Order
",406-9012418-6254705,WOOD,"PACK OF 2 GOOD QUALITY Wood Back Scratcher Massager 18"" Long Self-Massage Back Scratcher With Double ball Rolling massage",1,amazon.in,"Amazon
",MANGALURU,KARNATAKA,575004,266.96,8.93,-8.93,32.04,0,0,0,-24.7,-82.6,-23.6,0,168.1
18-May-2018 6:49:25 AM GMT+00:00,10140700102,"Order
",403-4196956-1041156,SCRTR,"(PACK OF 2) GOOD QUALITY Sisam Wood solid Back Scratcher 15"" Long Self-Massage Back Scratcher",1,amazon.in,"Amazon
",BENGALURU,KARNATAKA,560028,319.64,14.88,-14.88,38.36,0,0,0,-29.57,-82.6,-23.6,0,222.23
